source1_entity_id	candidate_entity_ids
S1-925783039	S2-748268413,S2-518413297,S3-448534540,S2-878352124,S2-563644814,S2-415733261,S3-832434530,S2-838401167,S3-676608088,S3-868397091,S3-921304401,S3-325213007,S2-78769581,S2-185405451,S3-939991763
S1-773889195	S3-85738770,S2-126411084,S3-414930541,S3-256485928,S2-998406285,S2-87980826,S2-715418044,S2-273999815,S3-382215493,S3-396182476,S2-515386320,S2-248392702,S3-248738800,S3-743366290,S3-739323357
S1-377745466	S3-372230683,S2-661030345,S3-519606520,S2-683312986,S2-450093756,S2-526057016,S3-536959514,S3-912374499,S2-549794568,S2-916871057,S3-483474606,S2-461664377,S2-356220463,S2-512947690,S2-645865683
S1-133037285	S3-388933339,S2-374185954,S3-768137581,S2-977599464,S3-332753509,S3-85606801,S3-585617171,S3-634035761,S2-416300306,S3-553176058,S3-928896137,S3-129040955,S3-750318205,S2-777835859,S2-456598271
S1-755362802	S2-523935459,S3-831988468,S2-74992830,S3-428209909,S2-246802983,S3-332361882,S2-722876090,S2-915202445,S3-943032673,S3-912485810,S2-743481583,S2-484557188,S3-517304260,S2-57398306,S2-784259305
S1-851869949	S2-672080705,S3-81311280,S3-731358529,S2-576739598,S3-606682330,S2-841152676,S3-290887935,S3-195576649,S3-65160290,S2-195768351,S2-519091084,S3-179180087,S2-93682954,S2-413464764,S2-472530538
S1-785847572	S2-529342473,S3-649034504,S2-260686291,S2-215182600,S3-45043386,S2-243813488,S2-937072190,S2-385922466,S2-998440718,S3-985485366,S2-549110351,S2-124970234,S2-90112897,S3-640939636,S3-117033165
S1-27541239	S2-958380385,S3-423819990,S3-16693061,S3-172408746,S3-51527370,S2-402816014,S2-768946792,S2-65301879,S2-590158229,S3-76330975,S2-331692143,S3-392346451,S2-784849034,S2-576774941,S3-239262619
S1-629417405	S2-740081940,S2-903769892,S3-38487246,S2-512947690,S2-161990650,S2-376460483,S3-323228179,S3-28509014,S2-533197229,S2-23798630,S3-667592465,S3-664400768,S2-781156831,S3-295337289,S2-411395943
S1-22305073	S2-131872909,S3-759954372,S2-482144229,S3-66751718,S2-612169234,S2-752081733,S2-292552164,S2-93682954,S3-141506690,S2-989158977,S2-850741800,S3-12064888,S3-36343349,S2-193995593,S3-980163469
S1-504790211	S2-340882825,S2-440765604,S3-976989011,S3-106343583,S2-779405377,S2-337462823,S3-548978484,S3-413182795,S2-998910997,S3-669474461,S2-708386648,S2-415733261,S3-488468951,S3-310912353,S2-374447205
S1-564729135	S3-471731074,S3-648102632,S2-290655819,S2-625988543,S3-862063751,S3-599692757,S2-353393611,S2-840004711,S2-615909795,S2-619664055,S2-424537185,S2-394554163,S2-921467017,S2-512950951,S2-726813453
S1-236312382	S3-337137453,S3-339046606,S3-485847395,S2-555707870,S3-988483404,S3-538145319,S2-586389069,S2-399112375,S2-327707439,S2-831117180,S2-218208532,S3-460909571,S3-387471285,S3-474367635,S2-50256920
S1-865131206	S2-597331429,S3-977222163,S2-247487143,S2-601185190,S2-391277285,S3-65094669,S2-826868298,S2-95507352,S2-562575047,S3-951141031,S3-257771188,S2-93981671,S3-325930909,S3-788624238,S3-125443156
S1-626914593	S3-720531480,S3-506818727,S2-862278331,S3-19100181,S3-611908542,S2-70367717,S2-957597561,S3-994836709,S3-433559974,S2-182145854,S3-57932311,S2-88437832,S2-374447205,S2-568385282,S2-393523489
